region,unit_name,unit_type,population,migration_value,employment_rate,commuting_value,fiscal_self_reliance,fiscal_autonomy,urban_population_ratio_admin,land_price_value,population_score,migration_score,employment_score,commuting_score,fiscal_score,urban_form_score,supplementary_score,total_score,final_grade
Seoul,종로구,autonomous_district,136817,2153,54.1,244.7,39.8,55.0,100,0.238,15.3846,21.5385,2.0,98.3607,76.2315,100.0,71.1864,53.6015,6
Seoul,중구,autonomous_district,117762,1812,58.4,321.0,55.7,60.9,100,0.232,12.3077,16.9231,16.0,100.0,99.1071,100.0,69.4915,58.4066,5
Seoul,용산구,autonomous_district,200962,3049,61.1,125.0,37.3,51.1,100,0.611,24.6154,35.3846,44.0,88.5246,66.4717,100.0,100.0,63.5605,5
Seoul,성동구,autonomous_district,275093,4531,59.9,112.6,32.9,52.0,100,0.347,32.3077,50.7692,34.0,81.9672,62.2537,100.0,93.2203,62.678,5
Seoul,광진구,autonomous_district,331123,4888,61.6,90.1,23.0,44.4,100,0.293,44.6154,56.9231,50.0,31.1475,36.8534,100.0,88.1356,55.0323,6
Seoul,동대문구,autonomous_district,351542,7775,54.2,105.2,20.3,44.1,100,0.258,46.1538,86.1538,4.0,65.5738,32.5123,100.0,74.5763,55.5642,6
Seoul,중랑구,autonomous_district,376665,3887,58.4,82.1,15.1,35.9,100,0.194,52.3077,40.0,16.0,4.918,9.6367,100.0,52.5424,36.2408,8
Seoul,성북구,autonomous_district,422778,6756,56.0,93.6,17.0,38.2,100,0.197,61.5385,78.4615,6.0,42.623,18.3805,100.0,55.9322,49.4,7
Seoul,강북구,autonomous_district,278786,3112,52.1,82.9,15.6,40.5,100,0.146,35.3846,36.9231,0.0,6.5574,18.5037,100.0,38.9831,31.0126,9
Seoul,도봉구,autonomous_district,299065,2702,57.3,80.8,16.8,43.2,100,0.136,38.4615,29.2308,12.0,3.2787,26.4471,100.0,33.8983,32.6415,9
Seoul,노원구,autonomous_district,482487,6176,56.4,86.2,16.6,39.5,100,0.146,70.7692,72.3077,8.0,16.3934,18.4421,100.0,38.9831,44.1221,7
Seoul,은평구,autonomous_district,454109,4698,59.6,77.3,15.7,37.5,100,0.222,64.6154,53.8462,30.0,0.0,14.0086,100.0,64.4068,43.0984,7
Seoul,서대문구,autonomous_district,300594,5137,56.7,105.3,21.6,45.0,100,0.211,40.0,58.4615,10.0,67.2131,36.0221,100.0,57.6271,51.3362,6
Seoul,마포구,autonomous_district,356966,5594,61.4,120.8,29.2,45.6,100,0.338,47.6923,64.6154,46.0,85.2459,48.1219,100.0,91.5254,67.4064,4
Seoul,양천구,autonomous_district,423666,5454,59.9,82.1,23.2,42.1,100,0.26,63.0769,61.5385,34.0,4.918,33.2512,100.0,76.2712,49.2083,7
Seoul,강서구,autonomous_district,548985,6601,61.5,97.0,19.4,36.2,100,0.181,80.0,75.3846,48.0,52.459,18.2882,100.0,47.4576,60.1934,5
Seoul,구로구,autonomous_district,382836,4081,62.2,103.5,19.6,41.4,100,0.16,53.8462,43.0769,60.0,60.6557,27.1859,100.0,44.0678,56.6187,6
Seoul,금천구,autonomous_district,222712,2427,59.9,128.6,21.6,43.0,100,0.14,26.1538,26.1538,34.0,90.1639,32.4507,100.0,37.2881,51.1987,6
Seoul,영등포구,autonomous_district,371177,5779,65.6,142.8,34.3,46.9,100,0.272,49.2308,66.1538,92.0,95.082,57.6663,100.0,84.7458,78.6815,3
Seoul,동작구,autonomous_district,372236,6028,61.0,88.6,28.2,48.4,100,0.261,50.7692,67.6923,42.0,27.8689,49.1072,100.0,77.9661,56.2733,6
Seoul,관악구,autonomous_district,478468,8894,57.6,80.1,17.1,40.6,100,0.15,67.6923,89.2308,14.0,1.6393,23.7069,100.0,42.3729,45.4931,7
Seoul,서초구,autonomous_district,415540,6121,58.5,140.2,52.6,55.0,100,0.396,58.4615,69.2308,18.0,93.4426,83.1281,100.0,96.6102,71.3033,4
Seoul,강남구,autonomous_district,554165,9028,58.9,192.7,54.8,56.6,100,0.602,81.5385,90.7692,24.0,96.7213,87.5308,100.0,98.3051,79.9716,3
Seoul,송파구,autonomous_district,650071,13353,61.8,100.4,32.8,39.3,100,0.267,87.6923,95.3846,54.0,57.377,39.9631,100.0,79.661,71.6463,4
Seoul,강동구,autonomous_district,499795,7312,58.8,86.1,24.9,42.9,100,0.269,75.3846,81.5385,22.0,14.7541,35.0061,100.0,83.0508,54.1299,6
Incheon,중구,autonomous_district,177848,2480,64.5,136.0,42.1,48.0,100,0.058,20.0,27.6923,88.0,91.8033,65.4557,100.0,6.7797,62.7477,5
Incheon,동구,autonomous_district,57603,1223,60.0,112.4,12.8,40.4,100,0.043,3.0769,13.8462,36.0,80.3279,13.3005,100.0,5.0847,39.5771,8
Incheon,미추홀구,autonomous_district,417486,4422,59.0,92.5,13.2,28.3,100,0.062,60.0,49.2308,26.0,36.0656,4.3411,100.0,8.4746,41.7498,8
Incheon,연수구,autonomous_district,410050,5349,61.1,92.8,29.9,37.7,100,0.064,56.9231,60.0,44.0,39.3443,35.5911,100.0,10.1695,51.1675,6
Incheon,남동구,autonomous_district,479700,4237,60.5,92.9,16.8,28.2,100,0.09,69.2308,46.1538,38.0,40.9836,9.4827,100.0,20.339,47.3256,7
Incheon,부평구,autonomous_district,489390,4005,60.5,88.3,15.7,28.6,100,0.072,73.8462,41.5385,38.0,26.2295,9.5443,100.0,13.5593,44.1361,7
Incheon,계양구,autonomous_district,277157,2152,61.7,85.3,14.6,33.7,100,0.077,33.8462,20.0,52.0,11.4754,6.9889,100.0,15.2542,35.1628,8
Incheon,서구,autonomous_district,657709,7760,64.3,93.7,27.5,34.2,100,0.117,89.2308,84.6154,86.0,44.2623,25.9852,100.0,32.2034,67.9999,4
Incheon,강화군,county,69615,623,66.3,101.2,12.0,53.7,31.55,0.038,6.1538,4.6154,96.0,59.0164,34.7906,11.7647,1.6949,36.064,8
