region,unit_name,unit_type,run_scope,population_period,population_source,population,households,persons_per_household,migration_period,migration_source,migration_table_id,migration_indicator_id,migration_region_code,migration_value,employment_period,employment_source,employment_table_id,employment_region_code,employed_thousand,employment_rate,merge_status,notes,urban_form_period,urban_form_source,urban_form_dataset,urban_population_ratio_admin,urban_population_ratio_zoning,urban_population_admin,urban_population_zoning,fiscal_period,fiscal_source,fiscal_self_reliance,fiscal_autonomy,fiscal_region_code,commuting_period,commuting_source,commuting_value,land_price_period,land_price_source,land_price_latest_month,land_price_value
Seoul,종로구,autonomous_district,run-1-main-66,2026-03,MOIS,136817,72570,1.89,2026-02,KOSIS,DT_1B26001,T10,11110,2153,2025-H2,KOSIS,DT_1ES3A03_A01S,1101,73,54.1,migration_ok;employment_ok;urban_form_ok;fiscal_ok;commuting_ok;land_price_ok,,2024,LX/data.go.kr,15101219,100,100,138336,138336,2025,KOSIS e-지방지표,39.8,55.0,11010,2020,KOSIS,244.7,2025,data.go.kr/MOLIT,6월,0.238
Seoul,중구,autonomous_district,run-1-main-66,2026-03,MOIS,117762,63968,1.84,2026-02,KOSIS,DT_1B26001,T10,11140,1812,2025-H2,KOSIS,DT_1ES3A03_A01S,1102,69,58.4,migration_ok;employment_ok;urban_form_ok;fiscal_ok;commuting_ok;land_price_ok,,2024,LX/data.go.kr,15101219,100,100,120544,120544,2025,KOSIS e-지방지표,55.7,60.9,11020,2020,KOSIS,321.0,2025,data.go.kr/MOLIT,6월,0.232
Seoul,용산구,autonomous_district,run-1-main-66,2026-03,MOIS,200962,102627,1.96,2026-02,KOSIS,DT_1B26001,T10,11170,3049,2025-H2,KOSIS,DT_1ES3A03_A01S,1103,113,61.1,migration_ok;employment_ok;urban_form_ok;fiscal_ok;commuting_ok;land_price_ok,,2024,LX/data.go.kr,15101219,100,100,203854,203854,2025,KOSIS e-지방지표,37.3,51.1,11030,2020,KOSIS,125.0,2025,data.go.kr/MOLIT,6월,0.611
Seoul,성동구,autonomous_district,run-1-main-66,2026-03,MOIS,275093,133910,2.05,2026-02,KOSIS,DT_1B26001,T10,11200,4531,2025-H2,KOSIS,DT_1ES3A03_A01S,1104,150,59.9,migration_ok;employment_ok;urban_form_ok;fiscal_ok;commuting_ok;land_price_ok,,2024,LX/data.go.kr,15101219,100,100,273669,273669,2025,KOSIS e-지방지표,32.9,52.0,11040,2020,KOSIS,112.6,2025,data.go.kr/MOLIT,6월,0.347
Seoul,광진구,autonomous_district,run-1-main-66,2026-03,MOIS,331123,171849,1.93,2026-02,KOSIS,DT_1B26001,T10,11215,4888,2025-H2,KOSIS,DT_1ES3A03_A01S,1105,196,61.6,migration_ok;employment_ok;urban_form_ok;fiscal_ok;commuting_ok;land_price_ok,,2024,LX/data.go.kr,15101219,100,100,331963,331963,2025,KOSIS e-지방지표,23.0,44.4,11050,2020,KOSIS,90.1,2025,data.go.kr/MOLIT,6월,0.293
Seoul,동대문구,autonomous_district,run-1-main-66,2026-03,MOIS,351542,180029,1.95,2026-02,KOSIS,DT_1B26001,T10,11230,7775,2025-H2,KOSIS,DT_1ES3A03_A01S,1106,179,54.2,migration_ok;employment_ok;urban_form_ok;fiscal_ok;commuting_ok;land_price_ok,,2024,LX/data.go.kr,15101219,100,100,338735,338735,2025,KOSIS e-지방지표,20.3,44.1,11060,2020,KOSIS,105.2,2025,data.go.kr/MOLIT,6월,0.258
Seoul,중랑구,autonomous_district,run-1-main-66,2026-03,MOIS,376665,190029,1.98,2026-02,KOSIS,DT_1B26001,T10,11260,3887,2025-H2,KOSIS,DT_1ES3A03_A01S,1107,200,58.4,migration_ok;employment_ok;urban_form_ok;fiscal_ok;commuting_ok;land_price_ok,,2024,LX/data.go.kr,15101219,100,100,379274,379274,2025,KOSIS e-지방지표,15.1,35.9,11070,2020,KOSIS,82.1,2025,data.go.kr/MOLIT,6월,0.194
Seoul,성북구,autonomous_district,run-1-main-66,2026-03,MOIS,422778,199878,2.12,2026-02,KOSIS,DT_1B26001,T10,11290,6756,2025-H2,KOSIS,DT_1ES3A03_A01S,1108,220,56.0,migration_ok;employment_ok;urban_form_ok;fiscal_ok;commuting_ok;land_price_ok,,2024,LX/data.go.kr,15101219,100,100,421560,421560,2025,KOSIS e-지방지표,17.0,38.2,11080,2020,KOSIS,93.6,2025,data.go.kr/MOLIT,6월,0.197
Seoul,강북구,autonomous_district,run-1-main-66,2026-03,MOIS,278786,142760,1.95,2026-02,KOSIS,DT_1B26001,T10,11305,3112,2025-H2,KOSIS,DT_1ES3A03_A01S,1109,134,52.1,migration_ok;employment_ok;urban_form_ok;fiscal_ok;commuting_ok;land_price_ok,,2024,LX/data.go.kr,15101219,100,100,283597,283597,2025,KOSIS e-지방지표,15.6,40.5,11090,2020,KOSIS,82.9,2025,data.go.kr/MOLIT,6월,0.146
Seoul,도봉구,autonomous_district,run-1-main-66,2026-03,MOIS,299065,139159,2.15,2026-02,KOSIS,DT_1B26001,T10,11320,2702,2025-H2,KOSIS,DT_1ES3A03_A01S,1110,154,57.3,migration_ok;employment_ok;urban_form_ok;fiscal_ok;commuting_ok;land_price_ok,,2024,LX/data.go.kr,15101219,100,100,303228,303228,2025,KOSIS e-지방지표,16.8,43.2,11100,2020,KOSIS,80.8,2025,data.go.kr/MOLIT,6월,0.136
